trial,step,reward, epsilon 
   2051,   38,  40230,  0.036872749092304355
   2052,   35,  34959,  0.036806436185622675
   2053,   37,  37770,  0.036736568605386176
   2054,   37,  38070,  0.036666833650833515
   2055,   57,  77875,  0.036560651217609354
   2056,   37,  38370,  0.03649125019710408
   2057,   61,  86911,  0.036378299661493134
   2058,   37,  37770,  0.03630924478865379
   2059,   37,  37770,  0.03624032099878176
   2060,   35,  34659,  0.03617514546715838
   2061,   60,  84943,  0.036064976612149045
   2062,   37,  38370,  0.03599651650276849
   2063,   36,  36513,  0.035929982846491584
   2064,   35,  34659,  0.03586536543503661
   2065,   74,  119662,  0.03573111882817408
   2066,   49,  61555,  0.03564190037016525
   2067,   36,  35313,  0.035576022163642085
   2068,   66,  99241,  0.03545703892299308
   2069,   37,  37470,  0.03538973282741221
   2070,   35,  35259,  0.03532608701557976
   2071,   38,  40230,  0.035257266547138094
   2072,   76,  124687,  0.03512178365575079
   2073,   38,  39930,  0.0350533612006221
   2074,   37,  37770,  0.03498682138367564
   2075,   36,  36213,  0.03492215398320695
   2076,   39,  41494,  0.03485237773033191
   2077,   73,  117010,  0.03472365899125199
   2078,   38,  39330,  0.034656012142147745
   2079,   30,  24834,  0.034602335591476005
   2080,   36,  36813,  0.03453837884992731
   2081,   36,  36513,  0.03447454032192458
   2082,   37,  38070,  0.03440909924798004
   2083,   38,  39330,  0.03434206520801243
   2084,   37,  38070,  0.03427687560409897
   2085,   34,  31908,  0.0342169420306127
   2086,   37,  38370,  0.034151989940964175
   2087,   56,  75030,  0.034054792911245656
   2088,   39,  40894,  0.03398674969023111
   2089,   37,  37770,  0.03392223456170888
   2090,   51,  63880,  0.033834149110403215
   2091,   37,  37170,  0.03376992365494801
   2092,   34,  32508,  0.03371087649369633
   2093,   35,  34059,  0.03365024998056359
   2094,   74,  118462,  0.03352429470797204
   2095,   34,  33108,  0.03346567703220539
   2096,   35,  36159,  0.03340549149213297
   2097,   36,  36513,  0.03334374692058456
   2098,   36,  36813,  0.03328211647374874
   2099,   35,  33759,  0.03322226105373742
   2100,   61,  86611,  0.03311942894576751
   2101,   35,  34959,  0.0330598661072188
   2102,   72,  116165,  0.032939414542448614
   2103,   38,  39030,  0.03287524366674404
   2104,   38,  38730,  0.032811197805443816
   2105,   37,  37470,  0.03274891416070936
   2106,   35,  34359,  0.03269001766554351
   2107,   37,  37770,  0.03262796405022849
   2108,   34,  31308,  0.03257091362055406
   2109,   38,  39030,  0.032507460639419984
   2110,   38,  39330,  0.032444131274124974
   2111,   31,  26373,  0.03239226087470109
   2112,   37,  37170,  0.03233077247429496
   2113,   37,  38370,  0.03226940079384853
   2114,   35,  34359,  0.03221136666793731
   2115,   32,  27915,  0.0321582604099793
   2116,   40,  42762,  0.032092401857742155
   2117,   74,  119062,  0.031972277721177216
   2118,   36,  35913,  0.031913182210195554
   2119,   38,  39630,  0.0318510105876153
   2120,   34,  31608,  0.031795318671417536
   2121,   32,  28215,  0.03174289834375405
   2122,   36,  36513,  0.031684226802926686
   2123,   36,  37113,  0.03162566370681868
   2124,   38,  39930,  0.03156405221302029
   2125,   41,  44934,  0.031497835599722995
   2126,   52,  65500,  0.031414474753251445
   2127,   35,  33759,  0.031357978148467476
   2128,   36,  36813,  0.031300018069482946
   2129,   38,  39630,  0.031239040981790662
   2130,   37,  37770,  0.031179741673612628
   2131,   37,  37770,  0.0311205549299641
   2132,   37,  37770,  0.031061480537170193
   2133,   36,  36213,  0.031004068485385883
   2134,   33,  30360,  0.030951405028984736
   2135,   35,  33759,  0.030895741220782758
   2136,   32,  28215,  0.030844804009083883
   2137,   35,  34659,  0.030789331914916222
   2138,   34,  31908,  0.030735496358016902
   2139,   36,  35313,  0.030678686834516848
   2140,   49,  60355,  0.03060208399579035
   2141,   46,  54654,  0.030530251738539755
   2142,   60,  85243,  0.030437274009390478
   2143,   37,  38670,  0.030379496650199646
   2144,   39,  41794,  0.03031879685941638
   2145,   32,  29415,  0.030268810844740535
   2146,   73,  116710,  0.030157020389709608
   2147,   36,  36213,  0.030101280084150032
   2148,   39,  41494,  0.030041136184320003
   2149,   37,  37770,  0.029984110791202112
   2150,   36,  37113,  0.02992869008067317
   2151,   36,  37113,  0.029873371806237024
   2152,   36,  36813,  0.02981815577855736
   2153,   37,  37770,  0.029761553656557412
   2154,   48,  59350,  0.029688725280565133
   2155,   36,  36513,  0.029633850541700764
   2156,   35,  34959,  0.029580556257603006
   2157,   38,  39030,  0.02952292893710427
   2158,   58,  81025,  0.029435962461182182
   2159,   37,  37770,  0.029380085835183322
   2160,   37,  38370,  0.029324315276629584
   2161,   37,  38070,  0.029268650584179136
   2162,   46,  54654,  0.029199948294543223
   2163,   37,  38070,  0.029144519680914846
   2164,   37,  38070,  0.029089196284295
   2165,   35,  35559,  0.029036881520516013
   2166,   57,  78775,  0.02895279444710111
   2167,   37,  38370,  0.028897834991670493
   2168,   32,  28815,  0.02885019168937551
   2169,   36,  35913,  0.028796866842310496
   2170,   37,  37770,  0.028742203375450574
   2171,   36,  36213,  0.028689078127070607
   2172,   39,  41494,  0.02863175587910419
   2173,   52,  66100,  0.02855598027863501
   2174,   36,  36213,  0.028503199233103495
   2175,   37,  38370,  0.028449093218889783
   2176,   71,  112327,  0.028346858061102268
   2177,   37,  38970,  0.028293048820510532
   2178,   49,  60955,  0.028222402776644007
   2179,   37,  37770,  0.02816882978249376
   2180,   35,  35559,  0.028118170229661874
   2181,   37,  37770,  0.02806479509427205
   2182,   35,  34059,  0.02801432264011714
   2183,   38,  39330,  0.02795974657551315
   2184,   37,  37770,  0.02790667216680363
   2185,   73,  117010,  0.027803605693663053
   2186,   37,  37770,  0.027750827678376024
   2187,   36,  35913,  0.027699534825357582
   2188,   41,  45234,  0.027641425385743577
   2189,   37,  37770,  0.027588955228180657
   2190,   36,  37113,  0.0275379615698346
   2191,   38,  40230,  0.0274843135274027
   2192,   36,  36213,  0.027433513282076237
   2193,   44,  52074,  0.027371855726502296
   2194,   39,  41194,  0.027317165356379347
   2195,   44,  50574,  0.02725576929588338
   2196,   37,  37470,  0.027204031207507105
   2197,   36,  35613,  0.0271537490180745
   2198,   47,  56250,  0.027088656535329964
   2199,   49,  60655,  0.027021017786674047
   2200,   48,  58150,  0.02695489567269535
   2201,   39,  40594,  0.026901038410122625
   2202,   37,  37470,  0.02684997368736368
   2203,   34,  31608,  0.0268030261507888
   2204,   46,  54954,  0.026740111420216116
   2205,   37,  37770,  0.02668935217607842
   2206,   37,  38070,  0.026638689285348717
   2207,   37,  37770,  0.026588122565124765
   2208,   37,  38670,  0.026537651832851512
   2209,   35,  35259,  0.026489925832678923
   2210,   37,  38070,  0.026439641501720085
   2211,   39,  41194,  0.026386813743379724
   2212,   47,  57150,  0.026323559744194168
   2213,   37,  37770,  0.0262735912165904
   2214,   32,  28215,  0.026230274454311572
   2215,   37,  37770,  0.026180483004908005
   2216,   37,  38070,  0.026130786071802314
   2217,   37,  37170,  0.026081183475579545
   2218,   37,  37470,  0.026031675037165327
   2219,   38,  39030,  0.025980961464796313
   2220,   38,  39330,  0.025930346690004432
   2221,   38,  39630,  0.02587983052031731
   2222,   45,  52762,  0.02582037382510146
   2223,   30,  25134,  0.02578038224735438
   2224,   37,  38670,  0.02573144480293269
   2225,   36,  36213,  0.02568388444792182
   2226,   37,  37470,  0.02563513017982588
   2227,   35,  35859,  0.02558902729796232
   2228,   53,  67425,  0.02552002838971476
   2229,   39,  41494,  0.025469038065488035
   2230,   33,  30960,  0.02542577640205913
   2231,   37,  38370,  0.02537751208589749
   2232,   37,  37470,  0.02532933938716289
   2233,   48,  59050,  0.02526735691562221
   2234,   34,  32208,  0.025223176605549704
